PartitionKey,RowKey,Timestamp,CreationDate,CreationDate@type,PolicyHolderId,PolicyHolderId@type,PolicyId,PolicyId@type
f83f579c2a9846eaac65c546c706cd67,57bd2c3ace5f63c1,2017-07-12T10:34:09.065Z,2017-07-12T10:34:08.520Z,Edm.DateTime,57bd2c3ace5f63c1,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5cdf51223937adc6,2016-09-27T17:12:55.697Z,2016-09-27T17:12:55.377Z,Edm.DateTime,5cdf51223937adc6,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5d370d9206f10f82,2017-07-11T10:16:23.543Z,2017-07-11T10:16:22.808Z,Edm.DateTime,5d370d9206f10f82,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5e3e716811380b48,2018-07-18T10:01:21.561Z,2018-07-18T10:01:21.449Z,Edm.DateTime,5e3e716811380b48,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5eb83a79748cc6da,2017-02-06T07:09:51.718Z,2017-02-06T07:09:52.149Z,Edm.DateTime,5eb83a79748cc6da,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,5fdf0f69c41b9f4a,2017-03-14T06:36:58.296Z,2017-03-14T06:36:57.100Z,Edm.DateTime,5fdf0f69c41b9f4a,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,6157f67c1013cca2,2018-05-21T19:03:12.316Z,2018-05-21T19:03:12.259Z,Edm.DateTime,6157f67c1013cca2,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,617305d1adea6e69,2017-07-05T09:34:26.693Z,2017-07-05T09:34:26.814Z,Edm.DateTime,617305d1adea6e69,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,61e2f11b5f1aa080,2017-06-19T09:07:42.069Z,2017-06-19T09:07:42.273Z,Edm.DateTime,61e2f11b5f1aa080,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,622fce56976f92a3,2017-01-20T13:22:26.838Z,2017-01-20T13:22:26.881Z,Edm.DateTime,622fce56976f92a3,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,629172e06887028d,2016-09-27T08:38:59.818Z,2016-09-27T08:38:59.375Z,Edm.DateTime,629172e06887028d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,6487c31979e9bb56,2016-12-19T16:21:06.969Z,2016-12-19T16:21:06.925Z,Edm.DateTime,6487c31979e9bb56,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,672d693adf0ff5df,2018-01-18T08:34:59.819Z,2018-01-18T08:34:59.904Z,Edm.DateTime,672d693adf0ff5df,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,673ebb004275e95d,2017-06-23T07:25:24.480Z,2017-06-23T07:25:23.457Z,Edm.DateTime,673ebb004275e95d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,68e9858fe8a89fc9,2018-03-29T08:07:33.559Z,2018-03-29T08:07:33.483Z,Edm.DateTime,68e9858fe8a89fc9,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,697ac3db02ecdecf,2016-12-20T13:07:38.277Z,2016-12-20T13:07:38.568Z,Edm.DateTime,697ac3db02ecdecf,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,6a03ec576bb64ac7,2017-02-04T19:31:21.045Z,2017-02-04T19:31:21.249Z,Edm.DateTime,6a03ec576bb64ac7,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,6b3ba6ccb89d65bc,2017-06-22T03:35:59.757Z,2017-06-22T03:35:59.959Z,Edm.DateTime,6b3ba6ccb89d65bc,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,72b191b8e7462217,2017-08-23T15:03:00.765Z,2017-08-23T15:03:00.998Z,Edm.DateTime,72b191b8e7462217,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,72f6880086c640ba,2018-07-03T07:09:18.568Z,2018-07-03T07:09:18.374Z,Edm.DateTime,72f6880086c640ba,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7423726838aee45,2016-09-09T09:17:40.805Z,2016-09-09T09:17:40.471Z,Edm.DateTime,7423726838aee45,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7648a863871e87c0,2018-01-16T18:34:38.667Z,2018-01-16T18:34:38.899Z,Edm.DateTime,7648a863871e87c0,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,781a839cb8117d78,2017-07-01T08:20:46.894Z,2017-07-01T08:20:46.973Z,Edm.DateTime,781a839cb8117d78,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7a443e4645a59db4,2017-07-21T09:31:22.798Z,2017-07-21T09:31:22.599Z,Edm.DateTime,7a443e4645a59db4,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7a6c54306ac987e4,2017-01-08T04:39:21.227Z,2017-01-08T04:39:21.734Z,Edm.DateTime,7a6c54306ac987e4,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7b0f782865d39bd6,2018-05-30T11:07:31.367Z,2018-05-30T11:07:31.280Z,Edm.DateTime,7b0f782865d39bd6,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7b28348b06367cd,2018-04-25T10:46:51.275Z,2018-04-25T10:46:51.223Z,Edm.DateTime,7b28348b06367cd,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7c19178363507a67,2017-09-23T13:10:03.252Z,2017-09-23T13:10:02.658Z,Edm.DateTime,7c19178363507a67,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7d3cc8b6943d0aff,2017-06-14T13:39:18.336Z,2017-06-14T13:39:18.395Z,Edm.DateTime,7d3cc8b6943d0aff,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,7f04e570585a3959,2016-10-25T20:10:24.349Z,2016-10-25T20:10:24.877Z,Edm.DateTime,7f04e570585a3959,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,80c08fc52c77c93,2017-01-17T15:42:02.113Z,2017-01-17T15:42:01.462Z,Edm.DateTime,80c08fc52c77c93,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,80f05e235ba8dbde,2018-02-24T08:44:11.352Z,2018-02-24T08:44:11.213Z,Edm.DateTime,80f05e235ba8dbde,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8605a4a37c219988,2018-04-12T12:19:52.767Z,2018-04-12T12:19:52.684Z,Edm.DateTime,8605a4a37c219988,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,868d3c417596d760,2018-05-21T17:04:21.791Z,2018-05-21T17:04:21.486Z,Edm.DateTime,868d3c417596d760,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,880b329db0baf999,2016-12-20T19:04:21.890Z,2016-12-20T19:04:22.423Z,Edm.DateTime,880b329db0baf999,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,89062e5e48c864a3,2017-03-11T06:18:30.017Z,2017-03-11T06:18:29.926Z,Edm.DateTime,89062e5e48c864a3,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,89528a2dc6f04655,2017-06-19T12:27:08.631Z,2017-06-19T12:27:08.583Z,Edm.DateTime,89528a2dc6f04655,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8a79fa2b15cc7f6b,2018-03-15T06:52:23.981Z,2018-03-15T06:52:23.905Z,Edm.DateTime,8a79fa2b15cc7f6b,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8b133504998ca8c9,2017-06-26T07:36:52.301Z,2017-06-26T07:36:52.197Z,Edm.DateTime,8b133504998ca8c9,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8d8f839ce3bb2bc8,2017-08-08T07:58:16.310Z,2017-08-08T07:58:15.687Z,Edm.DateTime,8d8f839ce3bb2bc8,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8dc321bdd78356bc,2017-07-12T12:37:48.153Z,2017-07-12T12:37:47.471Z,Edm.DateTime,8dc321bdd78356bc,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,8f5ce9a8d15ddb69,2016-09-23T15:57:11.429Z,2016-09-23T15:57:10.988Z,Edm.DateTime,8f5ce9a8d15ddb69,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9180440f858ec72c,2017-07-03T12:00:41.234Z,2017-07-03T12:00:41.302Z,Edm.DateTime,9180440f858ec72c,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,94a18c8e09eb2a1d,2017-07-29T19:00:49.745Z,2017-07-29T19:00:50.212Z,Edm.DateTime,94a18c8e09eb2a1d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9a96def568d8b9e1,2016-09-03T16:16:32.838Z,2016-09-03T16:16:31.732Z,Edm.DateTime,9a96def568d8b9e1,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9ba56f3d9355d3a7,2016-10-07T14:23:54.725Z,2016-10-07T14:23:55.566Z,Edm.DateTime,9ba56f3d9355d3a7,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9c32f69c416841dc,2017-01-08T18:14:43.628Z,2017-01-08T18:14:44.516Z,Edm.DateTime,9c32f69c416841dc,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9c878477cb1c177e,2017-06-26T03:45:37.355Z,2017-06-26T03:45:37.642Z,Edm.DateTime,9c878477cb1c177e,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9db8e9d22d3b09f6,2017-06-08T12:46:00.106Z,2017-06-08T12:46:01.002Z,Edm.DateTime,9db8e9d22d3b09f6,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9e6ad333333fbc9d,2017-06-19T06:59:40.062Z,2017-06-19T06:59:40.138Z,Edm.DateTime,9e6ad333333fbc9d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,9ec39574bd8b25c,2018-04-23T18:04:22.695Z,2018-04-23T18:04:22.520Z,Edm.DateTime,9ec39574bd8b25c,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,DJFLDJGDDHJDFDHJGDHGLGHD,2018-07-27T10:32:46.967Z,2018-07-27T10:32:46.921Z,Edm.DateTime,DJFLDJGDDHJDFDHJGDHGLGHD,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,DJFLDJGDDHJHGLGHD,2018-07-27T10:30:28.734Z,2018-07-27T10:30:28.684Z,Edm.DateTime,DJFLDJGDDHJHGLGHD,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,DJFLDJGDNGLKNJGJDLGK,2018-07-27T10:04:13.292Z,2018-07-27T10:04:13.029Z,Edm.DateTime,DJFLDJGDNGLKNJGJDLGK,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,YFDFGFKFMGFKGNGKJFBGKJGBDF,2018-07-24T05:13:03.446Z,2018-07-24T05:13:03.365Z,Edm.DateTime,YFDFGFKFMGFKGNGKJFBGKJGBDF,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
