PartitionKey,RowKey,Timestamp,RequestId,RequestId@type,BatchId,BatchId@type,ContentList,ContentList@type,BatchStatus,BatchStatus@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
1e93e2b98248b0d_f83f579c2a9846eaac65c546c706cd67|4c2b0021-7130-4c71-ae53-94fb2d4a7984,6454033f-8774-4f4a-9f60-54d019783302,2017-08-17T15:51:20.207Z,4c2b0021-7130-4c71-ae53-94fb2d4a7984,Edm.String,6454033f-8774-4f4a-9f60-54d019783302,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-08-17T15:51:20.467Z,Edm.DateTime,2017-08-17T15:51:20.467Z,Edm.DateTime
1e93e2b98248b0d_f83f579c2a9846eaac65c546c706cd67|58e9b091-6a85-487c-b7d6-01379f96bd5e,3c9a40c3-92b2-45d2-8bef-6784ea2bb5e9,2017-08-17T15:52:40.715Z,58e9b091-6a85-487c-b7d6-01379f96bd5e,Edm.String,3c9a40c3-92b2-45d2-8bef-6784ea2bb5e9,Edm.String,UserNames|Advert1;,Edm.String,4,Edm.String,2017-08-17T15:51:19.324Z,Edm.DateTime,2017-08-17T15:51:19.324Z,Edm.DateTime
1e93e2b98248b0d_f83f579c2a9846eaac65c546c706cd67|6291211a-2156-454a-b5a6-1e88c9697491,681ce3c4-52da-4057-b58b-45399ee86bf3,2017-08-17T15:51:22.602Z,6291211a-2156-454a-b5a6-1e88c9697491,Edm.String,681ce3c4-52da-4057-b58b-45399ee86bf3,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-08-17T15:51:22.591Z,Edm.DateTime,2017-08-17T15:51:22.591Z,Edm.DateTime
1e93e2b98248b0d_f83f579c2a9846eaac65c546c706cd67|bc92dff2-a062-4f56-9b3f-c5154121a6ae,d171b399-f0d8-48cc-928f-4b68e237f079,2017-08-17T15:51:21.404Z,bc92dff2-a062-4f56-9b3f-c5154121a6ae,Edm.String,d171b399-f0d8-48cc-928f-4b68e237f079,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-08-17T15:51:21.432Z,Edm.DateTime,2017-08-17T15:51:21.432Z,Edm.DateTime
1e93e2b98248b0d_f83f579c2a9846eaac65c546c706cd67|c6ea4dc7-4536-4665-9775-be1fff838881,d1176bbc-d0e5-4199-a44d-d00f3ab31a43,2017-08-17T15:51:36.067Z,c6ea4dc7-4536-4665-9775-be1fff838881,Edm.String,d1176bbc-d0e5-4199-a44d-d00f3ab31a43,Edm.String,UserNames|Advert1;,Edm.String,4,Edm.String,2017-08-17T15:51:23.434Z,Edm.DateTime,2017-08-17T15:51:23.434Z,Edm.DateTime
1f68ede9479c2fcb_f83f579c2a9846eaac65c546c706cd67|f1f7070a-ed87-4d04-8af3-95ae2edf761b,db6d8c53-38a5-4204-afd0-ad88a908d7c1,2017-01-09T18:24:49.713Z,f1f7070a-ed87-4d04-8af3-95ae2edf761b,Edm.String,db6d8c53-38a5-4204-afd0-ad88a908d7c1,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2017-01-09T18:24:44.130Z,Edm.DateTime,2017-01-09T18:24:44.130Z,Edm.DateTime
1f73df76f78c6ec4_f83f579c2a9846eaac65c546c706cd67|170366a3-86dc-40c8-9bfb-c30ecd34dd30,2bc55f47-b79d-4564-8497-a41c7e1c4b51,2018-05-02T09:33:54.759Z,170366a3-86dc-40c8-9bfb-c30ecd34dd30,Edm.String,2bc55f47-b79d-4564-8497-a41c7e1c4b51,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-02T09:33:47.915Z,Edm.DateTime,2018-05-02T09:33:47.915Z,Edm.DateTime
1f73df76f78c6ec4_f83f579c2a9846eaac65c546c706cd67|4c9a7e51-02f5-43e0-a4a0-6db3b0ebe11d,425c9197-3296-4e7c-a3ed-edabfb948c81,2018-04-20T19:27:26.744Z,4c9a7e51-02f5-43e0-a4a0-6db3b0ebe11d,Edm.String,425c9197-3296-4e7c-a3ed-edabfb948c81,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-04-13T13:15:55.754Z,Edm.DateTime,2018-04-13T13:15:55.754Z,Edm.DateTime
1f73df76f78c6ec4_f83f579c2a9846eaac65c546c706cd67|5c7f0cdf-2e19-4071-a4a7-766061f25532,4e627335-e40f-4206-8ec9-da0a10367690,2018-06-14T21:29:37.071Z,5c7f0cdf-2e19-4071-a4a7-766061f25532,Edm.String,4e627335-e40f-4206-8ec9-da0a10367690,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-06-14T21:29:31.605Z,Edm.DateTime,2018-06-14T21:29:31.605Z,Edm.DateTime
1f73df76f78c6ec4_f83f579c2a9846eaac65c546c706cd67|5eb1ea3c-bcbc-4191-b500-10655a69c723,2eefdc40-49fe-43fa-9f21-3b6b1e11a9d4,2018-05-25T15:55:26.863Z,5eb1ea3c-bcbc-4191-b500-10655a69c723,Edm.String,2eefdc40-49fe-43fa-9f21-3b6b1e11a9d4,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2018-05-25T15:55:14.841Z,Edm.DateTime,2018-05-25T15:55:14.841Z,Edm.DateTime
