PartitionKey,RowKey,Timestamp,ContentId,ContentId@type,Content_ActionURL,Content_ActionURL@type,Content_B64URL,Content_B64URL@type,Content_RawURL,Content_RawURL@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|3d3e5bcc-1de3-4507-b09e-f2160240c7a9,UserNames|Advert1,2016-08-10T07:03:40.300Z,UserNames|Advert1,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=345&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png,Edm.String,2016-08-10T07:03:39.432Z,Edm.DateTime,2016-08-10T07:03:39.432Z,Edm.DateTime
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|3d3e5bcc-1de3-4507-b09e-f2160240c7a9,UserNames|Advert2,2016-08-10T07:03:39.304Z,UserNames|Advert2,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=1117&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png,Edm.String,2016-08-10T07:03:39.448Z,Edm.DateTime,2016-08-10T07:03:39.448Z,Edm.DateTime
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|3d3e5bcc-1de3-4507-b09e-f2160240c7a9,UserNames|Advert3,2016-08-10T07:03:35.621Z,UserNames|Advert3,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=980&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png,Edm.String,2016-08-10T07:03:39.448Z,Edm.DateTime,2016-08-10T07:03:39.448Z,Edm.DateTime
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|3d3e5bcc-1de3-4507-b09e-f2160240c7a9,UserNames|Advert4,2016-08-10T07:03:39.107Z,UserNames|Advert4,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=499&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert4.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert4.png,Edm.String,2016-08-10T07:03:39.448Z,Edm.DateTime,2016-08-10T07:03:39.448Z,Edm.DateTime
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|3d3e5bcc-1de3-4507-b09e-f2160240c7a9,UserNames|Advert5,2016-08-10T07:03:37.443Z,UserNames|Advert5,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=351&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert5.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert5.png,Edm.String,2016-08-10T07:03:39.448Z,Edm.DateTime,2016-08-10T07:03:39.448Z,Edm.DateTime
35aa68416ebafe13_f83f579c2a9846eaac65c546c706cd67|cedf829d-77ba-4674-acc9-8aa330093342,UserNames|Advert1,2017-07-26T08:11:17.611Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-26T08:11:17.593Z,Edm.DateTime,2017-07-26T08:11:17.593Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert1,2016-08-14T20:42:52.593Z,UserNames|Advert1,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=345&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert2,2016-08-14T20:42:52.915Z,UserNames|Advert2,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=1117&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert3,2016-08-14T20:42:53.452Z,UserNames|Advert3,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=980&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert4,2016-08-14T20:42:52.726Z,UserNames|Advert4,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=499&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert4.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert4.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert5,2016-08-14T20:42:53.335Z,UserNames|Advert5,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=351&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert5.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert5.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|124cd641-39c9-4153-97c3-ee5d5d0f7768,UserNames|Advert6,2016-08-14T20:42:53.764Z,UserNames|Advert6,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=935&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert6.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert6.png,Edm.String,2016-08-14T20:42:52.652Z,Edm.DateTime,2016-08-14T20:42:52.652Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|2921b550-e32f-4ce4-b1be-890e833d473a,UserNames|Advert1,2016-08-14T20:42:49.293Z,UserNames|Advert1,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=345&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert1.png,Edm.String,2016-08-14T20:42:48.721Z,Edm.DateTime,2016-08-14T20:42:48.721Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|2921b550-e32f-4ce4-b1be-890e833d473a,UserNames|Advert2,2016-08-14T20:42:49.336Z,UserNames|Advert2,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=1117&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert2.png,Edm.String,2016-08-14T20:42:48.721Z,Edm.DateTime,2016-08-14T20:42:48.721Z,Edm.DateTime
37b77aea754feb32_f83f579c2a9846eaac65c546c706cd67|2921b550-e32f-4ce4-b1be-890e833d473a,UserNames|Advert3,2016-08-14T20:42:49.268Z,UserNames|Advert3,Edm.String,http://jag.go2cloud.org/aff_c?offer_id=980&aff_id=5993,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png.b64,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/Advert3.png,Edm.String,2016-08-14T20:42:48.721Z,Edm.DateTime,2016-08-14T20:42:48.721Z,Edm.DateTime
